"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"AFG",2001,88.09271247269965469,12.24929370662000748
"AGO",2001,101220.62152450016812963,888.69456111275460959
"AIA",2001,3.87846070809678965,0.0
"ALA",2001,396.934825671746596424,8.12986098524739544
"ALB",2001,3729.021031484866191222,754.554994294192868291
"AND",2001,1.654212947706163456,0.28537301158203126
"ARG",2001,147805.950355627052198060,7972.718403093732233189
"ARM",2001,131.840612264474791905,28.985651241920573071
"ATG",2001,24.07418943832681541,0.36816398741536461
"AUS",2001,218816.302071089717076977,154497.153958950876625702
"AUT",2001,6926.269007849011234375,63.695902111647138944
"AZE",2001,553.29935612138201646,102.66725252357422887
"BDI",2001,1417.24695708633787275,0.61443509764689134
"BEL",2001,971.488195276284856111,10.199185545273437509
"BEN",2001,3749.33110518270000187,8.46116935786675304
"BES",2001,3.03185725290093330,0.0
"BFA",2001,59.47710511239313176,0.0
"BGD",2001,4586.99720271471100827,119.07781036326391083
"BGR",2001,8202.319111659730155245,2588.538490940100341502
"BHS",2001,432.99941970350697711,71.08703236286786662
"BIH",2001,1496.107104549774901826,620.79572704059680388
"BLR",2001,18358.964278885900931719,339.696963219698366370
"BLZ",2001,8211.62949254660564945,1289.19761174582810044
"BMU",2001,0.1958197936338976,0.0
"BOL",2001,140321.26053098015205804,11430.09796202108121526
"BRA",2001,2746361.55670610327268796,127418.53925897352084964
"BRB",2001,12.36746156416883842,0.52463511402452260
"BRN",2001,1244.45382286781158266,53.21603476361084129
"BTN",2001,297.65963149439672813,28.09743365198459169
"BWA",2001,130.98388147723630101,3.55340823797743079
"CAF",2001,31282.43685307151456245,303.11057365205144136
"CAN",2001,1358154.799492040020934213,520947.712050056034627571
"CHE",2001,1165.213247325959234499,13.164761910627169650
"CHL",2001,72711.302806947172111321,3148.508896981463133439
"CHN",2001,230289.115278809458339550,31948.147235070663107751
"CIV",2001,122711.45023837926147642,608.67040699892001580
"CMR",2001,39203.71718120802797853,135.02088775454603693
"COD",2001,455516.73897045697038980,7540.41564678384119449
"COG",2001,27030.69621787330212040,680.60419455393330791
"COL",2001,230054.83567237292752947,9995.10297230189447050
"COM",2001,36.97369320812446572,0.22594794528591578
"CPV",2001,7.1364507943294272,1.2644497312901475
"CRI",2001,15461.87944946767333902,486.78645438456994018
"CUB",2001,18942.90877802544465309,989.84413784921049825
"CUW",2001,0.90278852551215287,0.07522503909342448
"CYM",2001,20.68161219993162750,0.36298459668945312
"CYP",2001,78.62890207442059145,41.24433561476560866
"CZE",2001,3460.142585505529022936,75.608608198007823525
"DEU",2001,15286.38056788825910004,165.557354523051229187
"DMA",2001,22.79275551081271923,0.37100238926649306
"DNK",2001,4329.295853187872267272,129.523868320729152134
"DOM",2001,11246.81006554313852656,1110.62097043703524116
"DZA",2001,3468.760252169604246698,2377.750525253169344443
"ECU",2001,45002.46870978925501388,3394.18742691502101024
"EGY",2001,147.76494268109265975,17.00225300612521910
"ERI",2001,2.52952433260253888,0.8927561486518013
"ESP",2001,32811.053519209329330604,7522.055903831278711928
"EST",2001,16872.43450527268103394,200.931048944275210186
"ETH",2001,11947.24724356116857781,48.16398035060439255
"FIN",2001,151003.260500030228869759,2066.713802321184783030
"FJI",2001,1097.76405439653258084,22.98367063351670998
"FRA",2001,34420.963394336180752979,1602.153341213743371434
"GAB",2001,15082.63772959298131695,180.88103271439914277
"GBR",2001,23244.127250639827169312,2742.570816726961622099
"GEO",2001,666.556366612170242146,61.808367340907125532
"GGY",2001,0.9576780356467015,0.050414220579427085
"GHA",2001,43644.05617298841820343,101.65802505959850837
"GIB",2001,0.18728563696831596,0.0
"GIN",2001,18571.52585588293966532,104.73971493444146020
